Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2023-08-05,16:00,Santos,1.1,1–1,0.2,Ath Paranaense,,Estádio Urbano Caldeira,André Luiz Skettino Policarpo Bento,Match Report,
18,Sat,2023-08-05,18:30,Goiás,0.9,1–0,0.7,Fortaleza,"8,384",Estádio de Hailé Pinheiro,Leandro Pedro Vuaden,Match Report,
18,Sat,2023-08-05,18:30,Internacional,1.5,2–2,1.1,Corinthians,"22,509",Estádio José Pinheiro Borba,Wagner do Nascimento Magalhães,Match Report,
18,Sun,2023-08-06,16:00,São Paulo,0.9,0–2,1.9,Atlético Mineiro,"53,460",Estádio do Morumbi,Rodrigo José Pereira de Lima,Match Report,
18,Sun,2023-08-06,16:00,Vasco da Gama,1.8,1–0,1.5,Grêmio,,Estádio Club de Regatas Vasco da Gama,Luiz Flávio de Oliveira,Match Report,
18,Sun,2023-08-06,18:30,Cruzeiro,0.9,0–0,0.1,Botafogo (RJ),"44,759",Estádio Governador Magalhães Pinto,Raphael Claus,Match Report,
18,Sun,2023-08-06,18:30,Bahia,1.7,3–1,0.4,América (MG),"34,313",Itaipava Arena Fonte Nova,Matheus Delgado Candançan,Match Report,
18,Sun,2023-08-06,18:30,Coritiba,0.5,0–1,1,Bragantino,"34,010",Estádio Major Antônio Couto Pereira,Yuri Elino Ferreira da Cruz,Match Report,
18,Sun,2023-08-06,19:00 (20:00),Cuiabá,1.9,3–0,0.8,Flamengo,"33,091",Arena Pantanal,Anderson Daronco,Match Report,
18,Sat,2023-08-05,21:00,Fluminense,2.6,2–1,1,Palmeiras,"77,973",Estadio Jornalista Mário Filho,Ramon Abatti Abel,Match Report,
,,,,,,,,,,,,,
19,Sun,2023-08-13,11:00,Atlético Mineiro,1.1,1–0,0.6,Bahia,"29,847",Estádio Governador Magalhães Pinto,Savio Pereira,Match Report,
19,Sun,2023-08-13,16:00,América (MG),0.9,0–1,0.5,Goiás,"2,888",Estádio Raimundo Sampaio,Luiz Flávio de Oliveira,Match Report,
19,Sun,2023-08-13,16:00,Grêmio,1.2,2–1,1,Fluminense,"38,712",Arena do Grêmio,Rodrigo José Pereira de Lima,Match Report,
19,Sun,2023-08-13,16:00,Corinthians,2.4,3–1,0.8,Coritiba,"42,171",Neo Química Arena,Ramon Abatti Abel,Match Report,
19,Sun,2023-08-13,18:30,Fortaleza,2.6,4–0,0.5,Santos,"32,301",Estádio Castelão,Bruno Mota Correia,Match Report,
19,Sun,2023-08-13,18:30,Flamengo,1.4,1–1,0.8,São Paulo,"62,018",Estadio Jornalista Mário Filho,Rafael Rodrigo Klein,Match Report,
19,Sat,2023-08-12,21:00,Botafogo (RJ),2.3,3–1,1.7,Internacional,"39,598",Estádio Nilton Santos,Flavio Rodrigues de Souza,Match Report,
19,Mon,2023-08-14,19:00,Palmeiras,1.4,1–0,0.6,Cruzeiro,"38,555",Allianz Parque,Wagner do Nascimento Magalhães,Match Report,
19,Tue,2023-08-15,20:00,Ath Paranaense,0.8,2–0,1.1,Cuiabá,"18,444",Estádio Joaquim Américo Guimarães,Arthur Gomes Rabelo,Match Report,
19,Mon,2023-08-14,21:00,Bragantino,1.6,1–1,1.5,Vasco da Gama,"5,553",Estádio Nabi Abi Chedid,Anderson Daronco,Match Report,
,,,,,,,,,,,,,
20,Sat,2023-08-19,16:00,São Paulo,0.7,0–0,0.9,Botafogo (RJ),"51,946",Estádio do Morumbi,Ramon Abatti,Match Report,
20,Sat,2023-08-19,16:00,Internacional,1,0–1,1.1,Fortaleza,"21,134",Estádio José Pinheiro Borba,Yuri Elino Ferreira da Cruz,Match Report,
20,Sat,2023-08-19,17:30 (18:30),Cuiabá,0.7,0–2,1.7,Palmeiras,"19,115",Arena Pantanal,André Luiz Skettino Policarpo Bento,Match Report,
Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
20,Sat,2023-08-19,18:30,Fluminense,1.2,3–1,1.4,América (MG),"35,562",Estadio Jornalista Mário Filho,Flavio de Souza,Match Report,
20,Sun,2023-08-20,11:00,Vasco da Gama,1.9,1–0,0.7,Atlético Mineiro,"53,540",Estádio Club de Regatas Vasco da Gama,Braulio da Silva Machado,Match Report,
20,Sun,2023-08-20,16:00,Santos,1.7,2–1,0.4,Grêmio,,Estádio Urbano Caldeira,Paulo Cesar Zanovelli da Silva,Match Report,
20,Sun,2023-08-20,16:00,Bahia,1.8,4–0,0.7,Bragantino,"38,452",Itaipava Arena Fonte Nova,Arthur Gomes Rabelo,Match Report,
20,Sun,2023-08-20,16:00,Coritiba,2.6,2–3,1.9,Flamengo,"31,851",Estádio Major Antônio Couto Pereira,Raphael Claus,Match Report,
20,Sat,2023-08-19,21:00,Cruzeiro,2,1–1,0.6,Corinthians,"36,202",Estádio Governador Magalhães Pinto,Rafael Rodrigo Klein,Match Report,
20,Mon,2023-08-21,20:00,Goiás,1,1–1,1,Ath Paranaense,"8,325",Estádio de Hailé Pinheiro,Marcelo de Lima Henrique,Match Report,
,,,,,,,,,,,,,
21,Sat,2023-08-26,18:30,Flamengo,0.7,0–0,0.3,Internacional,"58,892",Estadio Jornalista Mário Filho,Edina Alves Batista,Match Report,
21,Sun,2023-08-27,11:00,Bragantino,1.5,2–0,0.5,Cuiabá,"3,683",Estádio Nabi Abi Chedid,Bruno Mota Correia,Match Report,
21,Sun,2023-08-27,16:00,Atlético Mineiro,1.6,2–0,0.7,Santos,"29,782",Arena MRV,Rafael Rodrigo Klein,Match Report,
21,Sun,2023-08-27,16:00,Botafogo (RJ),2.3,3–0,1.2,Bahia,"39,610",Estádio Nilton Santos,Flavio de Souza,Match Report,
21,Sun,2023-08-27,16:00,América (MG),1.3,2–1,1.4,São Paulo,"5,105",Estádio Raimundo Sampaio,Rodrigo José Pereira de Lima,Match Report,
21,Sun,2023-08-27,18:30,Palmeiras,0.7,1–0,0.1,Vasco da Gama,"40,292",Allianz Parque,Wilton Sampaio,Match Report,
21,Sun,2023-08-27,18:30,Ath Paranaense,0.8,2–2,3,Fluminense,"23,630",Estádio Joaquim Américo Guimarães,Raphael Claus,Match Report,
21,Sun,2023-08-27,18:30,Fortaleza,2.5,3–1,1,Coritiba,"12,467",Estádio Castelão,Matheus Delgado Candançan,Match Report,
21,Sun,2023-08-27,19:00,Grêmio,1.5,3–0,0.6,Cruzeiro,"52,203",Arena do Grêmio,Marcelo de Lima Henrique,Match Report,
21,Sat,2023-08-26,21:00,Corinthians,1,1–1,1.8,Goiás,"37,316",Neo Química Arena,Paulo Cesar Zanovelli da Silva,Match Report,
,,,,,,,,,,,,,
22,Sat,2023-09-02,16:00,Ath Paranaense,2,1–1,0.4,Atlético Mineiro,"18,009",Estádio Joaquim Américo Guimarães,Flavio de Souza,Match Report,
22,Sat,2023-09-02,16:00,Goiás,0.9,0–0,0.7,Internacional,"11,038",Estádio de Hailé Pinheiro,Braulio Machado,Match Report,
22,Sun,2023-09-03,11:00,Grêmio,0.7,2–0,1.1,Cuiabá,"39,339",Arena do Grêmio,Yuri Elino Ferreira da Cruz,Match Report,
22,Sun,2023-09-03,16:00,Corinthians,0.8,0–0,0.7,Palmeiras,"44,371",Neo Química Arena,Anderson Daronco,Match Report,
22,Sun,2023-09-03,16:00,Fluminense,0.6,1–0,0.9,Fortaleza,"10,035",Estadio Jornalista Mário Filho,André Luiz Skettino Policarpo Bento,Match Report,
22,Sun,2023-09-03,18:30,Cruzeiro,1.2,0–0,1.2,Bragantino,"29,417",Estádio Governador Magalhães Pinto,Wagner do Nascimento Magalhães,Match Report,
22,Sun,2023-09-03,18:30,Bahia,1.7,1–1,1.1,Vasco da Gama,"46,705",Itaipava Arena Fonte Nova,Ramon Abatti,Match Report,
22,Sun,2023-09-03,18:30,América (MG),1.6,2–0,1,Santos,"3,654",Estádio Raimundo Sampaio,Leandro Pedro Vuaden,Match Report,
22,Sat,2023-09-02,21:00,Botafogo (RJ),1.1,1–2,0.8,Flamengo,"40,769",Estádio Nilton Santos,Raphael Claus,Match Report,
,,,,,,,,,,,,,
23,Thu,2023-09-14,19:00,Santos,0.5,0–3,1.4,Cruzeiro,"12,244",Estádio Urbano Caldeira,Braulio da Silva Machado,Match Report,
23,Thu,2023-09-14,19:00,Fortaleza,2.6,2–1,0.4,Corinthians,"32,690",Estádio Castelão,Rodrigo José Pereira de Lima,Match Report,
23,Thu,2023-09-14,20:00,Coritiba,1.3,2–4,3.8,Bahia,"22,961",Estádio Major Antônio Couto Pereira,Wagner do Nascimento Magalhães,Match Report,
23,Wed,2023-09-13,21:30,Internacional,1,2–1,1.4,São Paulo,"20,763",Estádio José Pinheiro Borba,Paulo Zanovelli,Match Report,
23,Wed,2023-09-13,21:30,Flamengo,0.5,0–3,2.3,Ath Paranaense,"20,670",Estadio Jornalista Mário Filho,Rafael Rodrigo Klein,Match Report,
23,Fri,2023-09-15,19:00 (20:00),Cuiabá,1.7,2–2,0.4,América (MG),"8,509",Arena Pantanal,Bruno Arleu,Match Report,
Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
23,Thu,2023-09-14,21:30,Bragantino,1.3,2–0,1.3,Grêmio,"5,088",Estádio Nabi Abi Chedid,André Luiz Skettino Policarpo Bento,Match Report,
23,Sat,2023-09-16,16:00,Vasco da Gama,1.4,4–2,1.9,Fluminense,"35,850",Estádio Club de Regatas Vasco da Gama,Raphael Claus,Match Report,
23,Fri,2023-09-15,21:30,Palmeiras,1,1–0,0.4,Goiás,"38,146",Allianz Parque,Savio Pereira,Match Report,
23,Sat,2023-09-16,21:00,Atlético Mineiro,1.3,1–0,0.1,Botafogo (RJ),"31,729",Arena MRV,Ramon Abatti,Match Report,
,,,,,,,,,,,,,
24,Mon,2023-09-18,20:00,Bahia,0.9,1–2,2.6,Santos,"41,431",Itaipava Arena Fonte Nova,Ramon Abatti,Match Report,
,,,,,,,,,,,,,
15,Mon,2023-09-18,21:00,Corinthians,1.8,4–4,1.1,Grêmio,"35,796",Neo Química Arena,Wilton Sampaio,Match Report,
,,,,,,,,,,,,,
24,Wed,2023-09-20,19:00,Goiás,0.1,0–0,0.5,Flamengo,"13,799",Estádio de Hailé Pinheiro,Raphael Claus,Match Report,
24,Tue,2023-09-19,21:30,América (MG),1.2,0–2,1.8,Bragantino,"2,247",Estádio Raimundo Sampaio,Marcelo de Lima Henrique,Match Report,
24,Thu,2023-09-21,19:00,Vasco da Gama,3.5,5–1,0.5,Coritiba,"20,321",Estádio Club de Regatas Vasco da Gama,Flavio de Souza,Match Report,
24,Thu,2023-09-21,19:30,Ath Paranaense,0.9,2–1,0.8,Internacional,"24,871",Estádio Joaquim Américo Guimarães,Wagner do Nascimento Magalhães,Match Report,
24,Wed,2023-09-20,21:30,Fluminense,0.5,1–0,0.7,Cruzeiro,"28,985",Estadio Jornalista Mário Filho,Matheus Delgado Candançan,Match Report,
24,Wed,2023-09-20,21:30,São Paulo,1.6,1–2,1.1,Fortaleza,"24,777",Estádio do Morumbi,Yuri Elino Ferreira da Cruz,Match Report,
24,Fri,2023-09-22,20:00,Corinthians,1.1,1–0,0.5,Botafogo (RJ),"37,237",Neo Química Arena,Paulo Zanovelli,Match Report,
24,Thu,2023-09-21,21:30,Grêmio,0.4,1–0,1,Palmeiras,"29,057",Arena do Grêmio,Bruno Arleu,Match Report,
24,Sat,2023-09-23,21:00,Atlético Mineiro,0.6,1–0,0.4,Cuiabá,"36,104",Arena MRV,Rodrigo José Pereira de Lima,Match Report,
,,,,,,,,,,,,,
15,Mon,2023-09-25,20:00,América (MG),1.6,0–1,0.8,Vasco da Gama,"8,498",Estádio Raimundo Sampaio,Ramon Abatti,Match Report,
,,,,,,,,,,,,,
22,Wed,2023-09-27,19:00,São Paulo,1.6,2–1,0.8,Coritiba,"31,720",Estádio do Morumbi,Savio Pereira,Match Report,
,,,,,,,,,,,,,
25,Sat,2023-09-30,16:00,Fortaleza,1.9,1–1,1.5,Grêmio,"23,634",Estádio Castelão,Raphael Claus,Match Report,
25,Sat,2023-09-30,16:00,Flamengo,1.4,1–0,0.5,Bahia,"46,472",Estadio Jornalista Mário Filho,Savio Pereira,Match Report,
25,Sat,2023-09-30,17:30 (18:30),Cuiabá,1.2,3–0,0.2,Fluminense,"8,358",Arena Pantanal,Paulo Zanovelli,Match Report,
25,Sat,2023-09-30,18:30,São Paulo,2.3,2–1,0.2,Corinthians,"56,735",Estádio do Morumbi,Flavio de Souza,Match Report,
25,Sun,2023-10-01,16:00,Coritiba,0.5,2–0,0.9,Ath Paranaense,"20,992",Estádio Major Antônio Couto Pereira,Bruno Arleu,Match Report,
25,Sun,2023-10-01,16:00,Santos,2.4,4–1,0.9,Vasco da Gama,,Estádio Urbano Caldeira,Anderson Daronco,Match Report,
25,Sun,2023-10-01,16:00,Cruzeiro,0.6,1–1,1,América (MG),"44,279",Estádio Governador Magalhães Pinto,Leandro Pedro Vuaden,Match Report,
25,Sun,2023-10-01,18:30,Bragantino,2.9,2–1,1.5,Palmeiras,"9,093",Estádio Nabi Abi Chedid,Wagner do Nascimento Magalhães,Match Report,
25,Sat,2023-09-30,21:00,Internacional,0.8,0–2,1.4,Atlético Mineiro,"23,937",Estádio José Pinheiro Borba,Ramon Abatti,Match Report,
25,Mon,2023-10-02,20:00,Botafogo (RJ),0.9,1–1,0.5,Goiás,"34,294",Estádio Nilton Santos,Braulio da Silva Machado,Match Report,
,,,,,,,,,,,,,
26,Sat,2023-10-07,16:00,Goiás,2.7,4–6,2,Bahia,"9,001",Estádio de Hailé Pinheiro,Raphael Claus,Match Report,
Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
26,Sat,2023-10-07,18:30,Vasco da Gama,0.9,0–0,1.4,São Paulo,"20,690",Estádio Club de Regatas Vasco da Gama,Braulio Machado,Match Report,
26,Sun,2023-10-08,16:00,Fluminense,1.1,0–2,1.9,Botafogo (RJ),"45,193",Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Match Report,
26,Sun,2023-10-08,16:00,Palmeiras,2.1,1–2,1.4,Santos,"17,049",Allianz Parque,Flavio de Souza,Match Report,
26,Sun,2023-10-08,16:00,Internacional,2.5,3–2,0.4,Grêmio,"39,133",Estádio José Pinheiro Borba,Paulo Zanovelli,Match Report,
26,Sun,2023-10-08,18:30,Ath Paranaense,1.7,1–1,0.6,Bragantino,"15,388",Estádio Joaquim Américo Guimarães,Yuri Elino Ferreira da Cruz,Match Report,
26,Sun,2023-10-08,18:30,Fortaleza,2.2,3–2,1.4,América (MG),"23,830",Estádio Castelão,Bruno Arleu,Match Report,
26,Sun,2023-10-08,18:30,Atlético Mineiro,0.6,1–2,0.8,Coritiba,"38,350",Arena MRV,Marcelo de Lima Henrique,Match Report,
26,Sat,2023-10-07,21:00,Corinthians,1,1–1,0.9,Flamengo,"40,800",Neo Química Arena,Anderson Daronco,Match Report,
26,Sat,2023-10-14,20:00 (21:00),Cuiabá,0.9,0–0,0.5,Cruzeiro,"12,100",Arena Pantanal,Rodrigo José Pereira de Lima,Match Report,
,,,,,,,,,,,,,
27,Wed,2023-10-18,19:00,Grêmio,1.6,1–2,0.9,Ath Paranaense,"24,679",Arena do Grêmio,Luiz Flávio de Oliveira,Match Report,
27,Wed,2023-10-18,20:00,Coritiba,1.4,0–3,0.4,Cuiabá,"20,873",Estádio Major Antônio Couto Pereira,Denis da Silva Ribeiro Serafim,Match Report,
27,Wed,2023-10-18,20:00,América (MG),2.9,1–2,0.5,Botafogo (RJ),"6,230",Estádio Raimundo Sampaio,Anderson Daronco,Match Report,
27,Thu,2023-10-19,19:00,Cruzeiro,0.3,0–2,1.8,Flamengo,"37,073",Estádio Governador Magalhães Pinto,Rafael Rodrigo Klein,Match Report,
27,Thu,2023-10-19,19:00,Palmeiras,0.7,0–2,1.1,Atlético Mineiro,"27,718",Allianz Parque,Bruno Arleu,Match Report,
27,Thu,2023-10-19,20:00,Santos,1.8,1–3,2.4,Bragantino,"12,850",Estádio Urbano Caldeira,Raphael Claus,Match Report,
27,Wed,2023-10-18,21:30,Bahia,2,1–0,0.6,Internacional,"31,385",Itaipava Arena Fonte Nova,Marcelo de Lima Henrique,Match Report,
27,Wed,2023-10-18,21:30,Vasco da Gama,2,1–0,0.7,Fortaleza,"20,255",Estádio Club de Regatas Vasco da Gama,Leandro Pedro Vuaden,Match Report,
27,Wed,2023-10-18,21:30,Goiás,0.5,2–0,0.5,São Paulo,"12,685",Estádio de Hailé Pinheiro,Rodrigo José Pereira de Lima,Match Report,
27,Thu,2023-10-19,21:30,Fluminense,1.9,3–3,2.1,Corinthians,"35,096",Estadio Jornalista Mário Filho,Paulo Zanovelli,Match Report,
,,,,,,,,,,,,,
28,Sat,2023-10-21,17:30 (18:30),Cuiabá,1.3,1–1,1.8,Goiás,"14,956",Arena Pantanal,Anderson Daronco,Match Report,
28,Sat,2023-10-21,18:30,São Paulo,3.2,3–0,0.1,Grêmio,"47,132",Estádio do Morumbi,André Luiz Skettino Policarpo Bento,Match Report,
28,Sat,2023-10-21,18:30,Bahia,1.2,2–0,0.5,Fortaleza,"44,761",Itaipava Arena Fonte Nova,Rodrigo José Pereira de Lima,Match Report,
28,Sun,2023-10-22,15:00,Botafogo (RJ),0.9,1–1,1.1,Ath Paranaense,,Estádio Nilton Santos,Matheus Delgado Candançan,Match Report,
28,Sun,2023-10-22,16:00,Atlético Mineiro,0.6,0–1,0.9,Cruzeiro,"42,058",Arena MRV,Ramon Abatti,Match Report,
28,Sun,2023-10-22,16:00,Internacional,1.6,7–1,1.6,Santos,"36,584",Estádio José Pinheiro Borba,Paulo Zanovelli,Match Report,
28,Sun,2023-10-22,16:00,Flamengo,0.5,1–0,1.1,Vasco da Gama,"69,473",Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
28,Sun,2023-10-22,18:30,Corinthians,1.3,1–1,0.7,América (MG),"38,121",Neo Química Arena,Yuri Elino Ferreira da Cruz,Match Report,
28,Sun,2023-10-22,18:30,Coritiba,0.6,0–2,1.1,Palmeiras,"19,387",Estádio Major Antônio Couto Pereira,Rafael Rodrigo Klein,Match Report,
28,Sun,2023-10-22,18:30,Bragantino,2.2,1–0,0.5,Fluminense,"6,813",Estádio Nabi Abi Chedid,Wilton Pereira Sampaio,Match Report,
,,,,,,,,,,,,,
29,Wed,2023-10-25,19:00,Ath Paranaense,3.1,3–2,0.9,América (MG),"20,672",Estádio Joaquim Américo Guimarães,Anderson Daronco,Match Report,
29,Wed,2023-10-25,19:00,Bragantino,1.9,1–2,1.4,Atlético Mineiro,"5,494",Estádio Nabi Abi Chedid,Marcelo de Lima Henrique,Match Report,
29,Wed,2023-10-25,19:00,Fluminense,2.7,5–3,0.6,Goiás,"4,793",Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Match Report,
Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
29,Wed,2023-10-25,20:00,Cruzeiro,2,3–0,0.3,Bahia,"36,104",Estádio Governador Magalhães Pinto,Flavio de Souza,Match Report,
29,Wed,2023-10-25,20:00,Palmeiras,2.4,5–0,0.1,São Paulo,"32,618",Allianz Parque,Raphael Claus,Match Report,
29,Thu,2023-10-26,19:00,Vasco da Gama,1,1–2,1.6,Internacional,"20,098",Estádio Club de Regatas Vasco da Gama,Luiz Flávio de Oliveira,Match Report,
29,Wed,2023-10-25,20:30 (21:30),Cuiabá,0.6,0–1,1.4,Corinthians,"36,620",Arena Pantanal,André Luiz Skettino Policarpo Bento,Match Report,
29,Wed,2023-10-25,21:30,Grêmio,1,3–2,1.1,Flamengo,"22,325",Arena do Grêmio,Rodrigo José Pereira de Lima,Match Report,
29,Thu,2023-10-26,21:30,Santos,2.2,2–1,0.8,Coritiba,"12,205",Estádio Urbano Caldeira,Wagner Magalhães,Match Report,
,,,,,,,,,,,,,
30,Sat,2023-10-28,19:00,América (MG),2.4,3–4,2.1,Grêmio,"3,008",Estádio Raimundo Sampaio,Matheus Delgado Candançan,Match Report,
30,Sat,2023-10-28,19:00,Palmeiras,1.7,1–0,0.1,Bahia,"33,747",Allianz Parque,Rodrigo José Pereira de Lima,Match Report,
30,Sun,2023-10-29,16:00,Ath Paranaense,1.2,1–1,0.6,São Paulo,"27,604",Estádio Joaquim Américo Guimarães,Rafael Rodrigo Klein,Match Report,
30,Sun,2023-10-29,16:00,Goiás,1.1,1–1,0.9,Vasco da Gama,"12,904",Estádio de Hailé Pinheiro,Flavio de Souza,Match Report,
30,Sun,2023-10-29,18:30,Corinthians,1.2,1–1,1.3,Santos,"42,248",Neo Química Arena,Anderson Daronco,Match Report,
30,Sun,2023-10-29,18:30,Internacional,2.7,3–4,2.7,Coritiba,"36,272",Estádio José Pinheiro Borba,André Luiz Skettino Policarpo Bento,Match Report,
30,Sun,2023-10-29,20:00,Botafogo (RJ),2,0–1,1.1,Cuiabá,"30,659",Estádio Nilton Santos,Wilton Pereira Sampaio,Match Report,
30,Sat,2023-10-28,22:00,Atlético Mineiro,1.2,2–0,0.8,Fluminense,"23,003",Estádio Governador Magalhães Pinto,Raphael Claus,Match Report,
,,,,,,,,,,,,,
31,Tue,2023-10-31,19:00,Bahia,0.5,1–0,0.7,Fluminense,"34,319",Itaipava Arena Fonte Nova,Edina Alves Batista,Match Report,
31,Wed,2023-11-01,19:00,Corinthians,1,1–0,0.8,Ath Paranaense,"29,870",Neo Química Arena,Leandro Pedro Vuaden,Match Report,
31,Wed,2023-11-01,19:00,Internacional,1.3,1–1,0.3,América (MG),"14,961",Estádio José Pinheiro Borba,Flavio de Souza,Match Report,
31,Wed,2023-11-01,20:00,Coritiba,1.5,1–2,1.4,Grêmio,"24,308",Estádio Major Antônio Couto Pereira,Marcelo de Lima Henrique,Match Report,
31,Wed,2023-11-01,20:00,Flamengo,1.2,1–2,0.6,Santos,"64,708",Estadio Jornalista Mário Filho,Rafael Rodrigo Klein,Match Report,
31,Thu,2023-11-02,16:00 (17:00),Cuiabá,0.6,0–2,1.4,Vasco da Gama,"27,604",Arena Pantanal,Ramon Abatti,Match Report,
31,Thu,2023-11-02,18:00,Goiás,1.4,0–2,3.1,Bragantino,"10,182",Estádio de Hailé Pinheiro,Rodrigo José Pereira de Lima,Match Report,
31,Thu,2023-11-02,20:00,São Paulo,0.7,1–0,1,Cruzeiro,"50,570",Estádio do Morumbi,Wilton Pereira Sampaio,Match Report,
31,Wed,2023-11-01,21:30,Atlético Mineiro,2.3,3–1,0.4,Fortaleza,"28,898",Estádio Governador Magalhães Pinto,Matheus Delgado Candançan,Match Report,
31,Wed,2023-11-01,21:30,Botafogo (RJ),3.5,3–4,1.7,Palmeiras,"34,913",Estádio Nilton Santos,Braulio da Silva Machado,Match Report,
,,,,,,,,,,,,,
32,Sat,2023-11-04,19:30,Grêmio,0.5,1–0,0.9,Bahia,"40,154",Arena do Grêmio,Braulio Machado,Match Report,
32,Sat,2023-11-04,19:30,América (MG),1.4,1–1,1,Atlético Mineiro,"5,706",Estádio Raimundo Sampaio,Rodrigo José Pereira de Lima,Match Report,
32,Sun,2023-11-05,16:00,Cruzeiro,1.4,1–2,0.6,Internacional,"36,801",Estádio Governador Magalhães Pinto,Matheus Delgado Candançan,Match Report,
32,Sun,2023-11-05,16:00,Fortaleza,0.8,0–2,0.7,Flamengo,"49,324",Estádio Castelão,Anderson Daronco,Match Report,
32,Sun,2023-11-05,16:00,Bragantino,1.1,1–0,0.3,Corinthians,"10,797",Estádio Nabi Abi Chedid,Raphael Claus,Match Report,
32,Sun,2023-11-05,18:30,Coritiba,0.3,0–1,1.3,Goiás,"12,942",Estádio Major Antônio Couto Pereira,Rafael Rodrigo Klein,Match Report,
32,Sat,2023-11-04,21:30,Palmeiras,1.5,1–0,0.6,Ath Paranaense,"17,301",Allianz Parque,Wilton Pereira Sampaio,Match Report,
32,Mon,2023-11-06,19:00,Vasco da Gama,0.5,1–0,0.5,Botafogo (RJ),"21,043",Estádio Club de Regatas Vasco da Gama,Leandro Pedro Vuaden,Match Report,
Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
32,Mon,2023-11-06,21:00,Santos,0.1,0–0,0.5,Cuiabá,"12,923",Estádio Urbano Caldeira,Savio Pereira,Match Report,
,,,,,,,,,,,,,
33,Wed,2023-11-08,19:00,América (MG),0.4,0–3,0.9,Coritiba,"1,943",Estádio Raimundo Sampaio,Marcelo de Lima Henrique,Match Report,
33,Wed,2023-11-08,19:00,Internacional,1.1,0–0,0.5,Fluminense,"18,669",Estádio José Pinheiro Borba,Rodrigo José Pereira de Lima,Match Report,
33,Wed,2023-11-08,20:00,São Paulo,2,1–0,0.5,Bragantino,"11,948",Estádio do Morumbi,Flavio de Souza,Match Report,
33,Wed,2023-11-08,20:00,Ath Paranaense,1.2,1–1,0.7,Fortaleza,"19,831",Estádio Joaquim Américo Guimarães,Raphael Claus,Match Report,
33,Thu,2023-11-09,19:00,Corinthians,1.5,1–1,1.1,Atlético Mineiro,"30,348",Neo Química Arena,Braulio da Silva Machado,Match Report,
33,Thu,2023-11-09,19:00,Goiás,0.8,0–1,0.9,Santos,"11,836",Estádio de Hailé Pinheiro,Paulo Zanovelli,Match Report,
33,Thu,2023-11-09,20:00,Botafogo (RJ),1.4,3–4,2,Grêmio,"17,708",Estádio Nilton Santos,Ramon Abatti,Match Report,
33,Thu,2023-11-09,20:00,Bahia,0.7,0–3,2,Cuiabá,"33,931",Itaipava Arena Fonte Nova,Felipe Fernandes de Lima,Match Report,
33,Wed,2023-11-08,21:30,Flamengo,1.4,3–0,1,Palmeiras,"64,590",Estadio Jornalista Mário Filho,Rodrigo José Pereira de Lima,Match Report,
,,,,,,,,,,,,,
34,Sat,2023-11-11,16:00,Coritiba,0.7,1–0,0.6,Cruzeiro,"7,243",Estádio Major Antônio Couto Pereira,Braulio Machado,Match Report,
34,Sat,2023-11-11,18:30,Flamengo,0.9,1–1,1.4,Fluminense,"59,970",Estadio Jornalista Mário Filho,Wilton Pereira Sampaio,Match Report,
34,Sun,2023-11-12,16:00,Bragantino,2.9,2–2,0.8,Botafogo (RJ),"9,869",Estádio Nabi Abi Chedid,Anderson Daronco,Match Report,
34,Sun,2023-11-12,16:00,Grêmio,1.4,0–1,0.6,Corinthians,"49,459",Arena do Grêmio,Rodrigo José Pereira de Lima,Match Report,
34,Sun,2023-11-12,17:30 (18:30),Cuiabá,1.6,2–1,0.5,Fortaleza,"14,728",Arena Pantanal,Caio Max Augusto Vieira,Match Report,
34,Sun,2023-11-12,18:30,Santos,0.6,0–0,1.2,São Paulo,"13,442",Estádio Urbano Caldeira,Raphael Claus,Match Report,
34,Sun,2023-11-12,18:30,Vasco da Gama,1.7,2–1,2.5,América (MG),"19,478",Estádio Club de Regatas Vasco da Gama,Savio Pereira,Match Report,
34,Sun,2023-11-12,18:30,Bahia,2.5,1–1,0.7,Ath Paranaense,"33,214",Itaipava Arena Fonte Nova,Rafael Rodrigo Klein,Match Report,
34,Sun,2023-11-12,18:30,Atlético Mineiro,1.2,2–1,1,Goiás,"29,173",,Marcelo de Lima Henrique,Match Report,
34,Sat,2023-11-11,21:00,Palmeiras,1.7,3–0,0.7,Internacional,"19,358",Allianz Parque,Paulo Zanovelli,Match Report,
,,,,,,,,,,,,,
30,Sat,2023-11-18,18:30,Fortaleza,1.2,0–1,0.9,Cruzeiro,"30,804",Estádio Castelão,Savio Pereira,Match Report,
,,,,,,,,,,,,,
33,Wed,2023-11-22,19:00,Cruzeiro,1.5,2–2,0.8,Vasco da Gama,,Estádio Governador Magalhães Pinto,Leandro Pedro Vuaden,Match Report,
,,,,,,,,,,,,,
